Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2004-06-08,99.69608306884766,101.10025325291593,98.29191288477938,98.29191288477938,499150000
2004-06-09,101.10025787353516,102.5044281217787,98.29191737704808,99.69608762529163,294290000
2004-06-10,101.10025787353516,101.10025787353516,99.69608762529163,101.10025787353516,165590000
2004-06-11,101.10025787353516,101.10025787353516,99.69608762529163,99.69608762529163,135830000
2004-06-14,99.69608306884766,101.10025325291593,98.29191288477938,101.10025325291593,158540000
2004-06-15,102.50446319580078,102.50446319580078,98.29195100967198,98.29195100967198,297620000
2004-06-16,101.10025787353516,102.5044281217787,99.69608762529163,102.5044281217787,104270000
2004-06-17,99.69608306884766,99.69608306884766,98.29191288477938,99.69608306884766,350150000
2004-06-18,99.69608306884766,99.69608306884766,98.29191288477938,98.29191288477938,263260000
2004-06-21,99.69608306884766,99.69608306884766,98.29191288477938,99.69608306884766,331870000
2004-06-22,99.69608306884766,101.10025325291593,99.69608306884766,99.69608306884766,56870000
2004-06-23,101.10025787353516,101.10025787353516,99.69608762529163,101.10025787353516,469190000
2004-06-24,101.10025787353516,101.10025787353516,99.69608762529163,101.10025787353516,191310000
2004-06-25,102.50446319580078,102.50446319580078,101.10029246709118,101.10029246709118,154310000
2004-06-28,102.50446319580078,102.50446319580078,101.10029246709118,102.50446319580078,260860000
2004-06-29,103.9085922241211,103.9085922241211,102.50442205893027,102.50442205893027,123060000
2004-06-30,105.31275939941406,105.31275939941408,102.50441914876303,103.90858927408856,291260000
2004-07-01,113.29100799560547,114.88665599554356,111.69535999566736,114.88665599554356,203090000
2004-07-02,114.88666534423828,114.88666534423828,113.2910172144572,113.2910172144572,490800000
2004-07-05,114.88666534423828,114.88666534423828,114.88666534423828,114.88666534423828,0
2004-07-06,119.6736068725586,119.6736068725586,114.88666259765624,116.48231068929036,826610000
2004-07-07,119.6736068725586,121.2692549641927,116.48231068929036,118.07795878092448,382570000
2004-07-08,119.6736068725586,121.2692549641927,118.07795878092448,119.6736068725586,284740000
2004-07-09,121.26921844482422,121.2692184448242,118.07792322259199,118.07792322259199,381140000
2004-07-12,121.26921844482422,124.46051366705643,119.6735708337081,121.2692184448242,478410000
2004-07-13,122.86492156982422,122.86492156982422,119.67362490567295,121.26927323774858,133420000
2004-07-14,119.6736068725586,121.2692549641927,118.07795878092448,121.2692549641927,243420000
2004-07-15,119.6736068725586,119.6736068725586,116.48231068929036,118.07795878092448,134890000
2004-07-16,121.26921844482422,121.2692184448242,118.07792322259199,118.07792322259199,140620000
2004-07-19,121.26921844482422,121.2692184448242,119.6735708337081,119.6735708337081,43940000
2004-07-20,121.26921844482422,121.2692184448242,119.6735708337081,119.6735708337081,168890000
2004-07-21,121.26921844482422,121.2692184448242,119.6735708337081,119.6735708337081,162420000
2004-07-22,121.26921844482422,121.2692184448242,119.6735708337081,119.6735708337081,61730000
2004-07-23,121.26921844482422,121.2692184448242,119.6735708337081,119.6735708337081,15670000
2004-07-26,119.6736068725586,119.6736068725586,116.48231068929036,119.6736068725586,517650000
2004-07-27,119.6736068725586,119.6736068725586,116.48231068929036,118.07795878092448,254000000
2004-07-28,119.6736068725586,119.6736068725586,118.07795878092448,119.6736068725586,172520000
2004-07-29,119.6736068725586,119.6736068725586,118.07795878092448,119.6736068725586,57950000
2004-07-30,119.6736068725586,119.6736068725586,118.07795878092448,119.6736068725586,224110000
2004-08-02,118.07794952392578,119.67359749046533,118.07794952392578,118.07794952392578,27010000
2004-08-03,119.6736068725586,121.2692549641927,118.07795878092448,118.07795878092448,326000000
2004-08-04,121.26921844482422,121.2692184448242,119.6735708337081,119.6735708337081,254660000
2004-08-05,121.26921844482422,121.2692184448242,119.6735708337081,119.6735708337081,133330000
2004-08-06,119.6736068725586,121.2692549641927,119.6736068725586,119.6736068725586,126340000
2004-08-09,116.48233795166016,118.07798641675139,114.88668948656893,118.07798641675139,364660000
2004-08-10,116.48233795166016,116.48233795166016,116.48233795166016,116.48233795166016,108000000
2004-08-11,118.07794952392578,118.07794952392578,118.07794952392578,118.07794952392578,144040000
2004-08-12,116.48233795166016,118.07798641675139,116.48233795166016,118.07798641675139,13100000
2004-08-13,116.48233795166016,118.07798641675139,116.48233795166016,116.48233795166016,113270000
2004-08-16,114.88666534423828,116.48231347401938,114.88666534423828,116.48231347401938,143450000
2004-08-17,114.88666534423828,114.88666534423828,114.88666534423828,114.88666534423828,0
2004-08-18,118.07794952392578,118.07794952392578,116.48230155738625,116.48230155738625,236070000
